,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
132,10.631,30,1530,1600,11,70,47,10.631
133,7.379,15,1700,1715,6,80,47,7.379
134,12.246,30,1830,1900,13,1,47,12.246
135,48.6,65,945,1050,1,30,48,48.6
136,3.141,10,1230,1240,18,40,48,3.141
137,1.119,5,1315,1320,11,40,48,1.119
138,0.489,5,1345,1350,11,40,48,0.489
139,45.811,75,1415,1530,11,40,48,45.811
140,29.838,45,1545,1630,14,50,48,29.838
141,29.837,27,1745,1812,15,1,48,29.837
142,28.171,60,1000,1100,1,10,50,28.171
143,28.999,45,2400,2445,3,1,50,28.999
144,11.971,39,800,839,1,40,51,11.971
145,1.519,6,1009,1015,11,50,51,1.519
146,1.469,10,1105,1115,17,80,51,1.469
147,11.818,35,1125,1200,13,1,51,11.818
148,13.824,35,715,750,1,20,52,-1.0
149,26.063,45,1230,1315,1,20,52,26.063
150,6.406,10,1615,1625,7,1,52,-1.0
151,7.135,10,1800,1810,8,50,52,7.135
152,31.702,40,1815,1855,17,1,52,31.702
153,27.225,60,710,810,1,10,55,27.225
154,25.349,60,1800,1900,3,40,55,25.349
155,1.63,5,1910,1915,11,1,55,1.63
156,14.776,25,915,940,1,50,57,14.776
157,1.82,10,945,955,17,40,57,1.82
158,1.597,10,1025,1035,11,40,57,1.597
159,3.824,12,1038,1050,12,40,57,3.824
160,1.785,10,1100,1110,11,40,57,1.785
161,2.669,15,1210,1225,11,80,57,2.669
162,20.291,35,1300,1335,13,1,57,20.291
163,3.694,30,730,800,1,30,58,-1.0
164,3.612,30,1200,1230,18,1,58,-1.0
165,3.445,15,2015,2030,3,1,58,3.445
166,1.464,5,725,730,2,70,59,1.464
167,2.535,12,733,745,6,70,59,2.535
168,3.956,13,747,800,6,1,59,3.956
169,8.366,15,945,1000,2,30,59,8.366
170,1.937,7,1105,1112,18,40,59,1.937
171,3.561,8,1130,1138,14,40,59,3.561
172,2.047,7,1200,1207,14,40,59,2.047
173,2.978,8,1212,1220,11,10,59,2.978
174,7.597,15,1500,1515,3,40,59,7.597
175,1.911,6,1530,1536,14,50,59,1.911
176,2.012,7,1615,1622,17,70,59,2.012
177,0.941,8,1710,1718,6,80,59,0.941
178,6.662,15,1930,1945,13,1,59,6.662
179,8.34,30,800,830,1,10,60,8.34
180,8.17,30,1630,1700,3,1,60,8.17
181,6.069,20,740,800,1,10,61,6.069
182,6.171,20,1500,1520,3,1,61,6.171
183,11.768,32,730,802,1,70,62,11.768
184,11.944,23,820,843,6,1,62,11.944
185,10.296,20,917,937,2,40,62,10.296
186,6.962,17,1004,1021,12,40,62,6.962
187,3.514,9,1027,1036,11,1,62,3.514
188,0.758,5,1450,1455,1,70,63,0.758
189,3.411,20,1455,1515,8,70,63,-1.0
190,4.074,15,1525,1540,6,1,63,4.074
191,27.872,30,935,1005,1,50,64,27.872
192,2.421,33,1115,1148,11,40,65,-1.0
193,1.954,10,1205,1215,11,80,65,-1.0
194,4.519,32,1436,1508,13,80,65,-1.0
195,22.621,92,1530,1702,13,40,65,-1.0
196,76.115,114,1736,1930,11,80,65,-1.0
197,49.192,44,1946,2030,13,80,65,49.192
198,81.294,78,2046,2204,13,1,65,81.294
199,2.318,9,830,839,1,10,66,2.318
200,2.319,6,1115,1121,3,70,66,2.319
201,2.336,7,1138,1145,6,30,66,2.336
202,0.255,2,1239,1241,18,10,66,0.255
203,2.319,6,1430,1436,3,70,66,2.319
204,2.336,9,1515,1524,6,70,66,2.336
205,2.336,7,1545,1552,6,70,66,2.336
206,2.285,7,1604,1611,6,80,66,2.285
207,0.993,5,1700,1705,13,70,66,0.993
208,2.319,15,1730,1745,6,1,66,2.319
209,5.753,13,748,801,1,10,67,5.753
210,5.753,16,1600,1616,3,1,67,5.753
211,5.212,10,1650,1700,1,50,67,5.212
212,5.069,15,1940,1955,15,1,67,5.069
213,6.194,15,830,845,1,20,68,-1.0
214,6.366,15,845,900,6,1,68,6.366
215,6.194,15,1045,1100,1,70,68,6.194
216,6.366,10,1105,1115,6,70,68,6.366
217,31.686,40,1130,1210,6,20,68,31.686
218,54.899,90,1530,1700,8,40,68,54.899
219,113.111,105,1715,1900,11,50,68,113.111
220,20.118,45,545,630,1,10,70,20.118
221,20.905,30,1515,1545,3,1,70,20.905
222,33.087,45,1600,1645,9,50,70,33.087
223,32.736,30,2300,2330,17,1,70,32.736
224,28.171,60,1000,1100,1,10,71,28.171
225,28.999,45,2400,2445,3,1,71,28.999
226,2.667,5,925,930,1,97,72,-1.0
227,1.931,5,1415,1420,7,97,72,-1.0
228,1.831,5,1435,1440,5,1,72,-1.0
229,124.268,150,930,1200,1,40,74,124.268
230,5.353,20,1500,1520,11,80,74,5.353
231,119.432,120,1700,1900,13,1,74,119.432
232,6.161,10,730,740,1,80,75,6.161
233,2.12,10,750,800,13,10,75,2.12
234,2.146,10,930,940,3,40,75,2.146
235,2.146,10,1000,1010,11,10,75,2.146
236,2.256,10,1330,1340,3,80,75,2.256
237,2.256,10,1350,1400,13,10,75,2.256
238,2.252,10,1500,1510,3,70,75,2.252
239,2.252,10,1515,1525,6,10,75,2.252
240,6.901,15,1630,1645,3,1,75,6.901
241,12.416,25,615,640,1,70,78,12.416
242,12.437,20,645,705,6,1,78,12.437
243,4.43,5,1230,1235,1,40,78,4.43
244,4.43,5,1345,1350,11,1,78,4.43
245,26.157,40,830,910,1,80,79,-1.0
246,1.134,10,920,930,13,80,79,-1.0
247,59.684,65,1000,1105,13,80,79,59.684
248,0.465,20,1115,1135,13,40,79,0.465
249,2.892,20,1400,1420,11,80,79,-1.0
250,1.425,5,1430,1435,13,40,79,1.425
251,60.375,65,1440,1545,14,40,79,-1.0
252,1.139,15,1615,1630,11,40,79,1.139
