,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
134,8.843,10,405,415,1,10,48,8.843
135,8.913,15,1100,1115,3,1,48,8.913
136,9.136,15,1000,1015,1,50,49,9.136
137,4.311,30,1115,1145,17,30,49,4.311
138,1.222,15,1600,1615,18,40,49,1.222
139,0.442,3,1620,1623,11,40,49,0.442
140,9.194,20,1630,1650,11,40,49,9.194
141,3.137,35,1655,1730,14,1,49,3.137
142,6.412,10,1038,1048,2,40,51,6.412
143,6.404,10,1139,1149,11,1,51,6.404
144,2.935,5,1210,1215,1,80,51,2.935
145,2.644,5,1315,1320,13,40,51,2.644
146,0.217,1,1321,1322,14,1,51,0.217
147,4.938,10,1715,1725,2,80,51,4.938
148,4.964,10,1845,1855,13,1,51,4.964
149,98.642,80,930,1050,1,30,52,98.642
150,9.51,33,1140,1213,18,40,52,9.51
151,22.331,34,1258,1332,11,80,52,22.331
152,96.564,85,1510,1635,13,1,52,96.564
153,9.544,20,1200,1220,1,10,53,9.544
154,9.538,15,2345,2400,3,1,53,9.538
155,53.24,110,1705,1855,1,20,54,53.24
156,53.337,80,2030,2150,19,1,54,53.337
157,4.95,15,515,530,1,10,55,4.95
158,4.952,20,1445,1505,3,1,55,4.952
159,98.642,80,930,1050,1,30,56,98.642
160,9.51,33,1140,1213,18,40,56,9.51
161,22.331,34,1258,1332,11,80,56,22.331
162,96.564,85,1510,1635,13,1,56,96.564
163,32.853,45,600,645,1,10,57,32.853
164,32.755,50,1530,1620,3,1,57,32.755
165,5.439,11,812,823,1,10,59,5.439
166,4.446,9,1206,1215,3,80,59,4.446
167,4.448,13,1245,1258,13,10,59,4.448
168,5.894,15,1806,1821,3,50,59,5.894
169,7.378,28,1840,1908,17,1,59,7.378
170,33.238,45,720,805,1,10,60,33.238
171,0.923,3,1705,1708,3,40,60,0.923
172,32.342,37,1709,1746,14,1,60,32.342
173,24.147,44,401,445,1,10,67,24.147
174,0.626,10,650,700,3,40,67,0.626
175,0.626,5,730,735,12,10,67,0.626
176,24.174,45,1035,1120,3,1,67,24.174
177,17.674,30,1400,1430,7,40,69,17.674
178,2.005,15,1500,1515,11,40,69,2.005
179,17.608,30,1615,1645,11,1,69,17.608
180,5.892,15,1700,1715,7,40,70,5.892
181,5.892,15,1800,1815,14,1,70,5.892
182,117.955,98,930,1108,1,30,71,117.955
183,4.882,7,1215,1222,18,80,71,4.882
184,14.232,35,1300,1335,13,40,71,14.232
185,1.614,10,1430,1440,11,40,71,1.614
186,3.426,15,1550,1605,11,40,71,3.426
187,2.922,15,1745,1800,11,40,71,2.922
188,116.647,90,1835,2005,11,1,71,116.647
189,23.001,30,530,600,1,10,73,23.001
190,23.001,30,1630,1700,3,1,73,23.001
191,28.313,45,1000,1045,1,40,74,28.313
192,0.2,5,1115,1120,11,80,74,0.2
193,28.312,45,1130,1215,13,1,74,28.312
194,22.563,35,545,620,1,10,76,22.563
195,22.516,40,1530,1610,3,40,76,22.516
196,2.064,10,1700,1710,11,1,76,2.064
197,36.666,36,550,626,1,10,77,36.666
198,36.764,35,1500,1535,3,1,77,36.764
199,16.518,30,500,530,1,10,81,16.518
200,16.341,30,1400,1430,3,1,81,16.341
201,6.24,10,650,700,1,97,82,6.24
202,6.24,15,1600,1615,3,1,82,6.24
203,0.819,7,1823,1830,1,1,84,0.819
204,5.22,15,645,700,1,10,85,5.22
205,5.22,10,1200,1210,3,1,85,5.22
206,7.989,15,515,530,1,10,86,7.989
207,2.583,5,1500,1505,3,40,86,2.583
208,5.406,15,1510,1525,11,1,86,5.406
209,5.176,9,1150,1159,2,40,90,5.176
210,5.306,20,1210,1230,11,40,90,5.306
211,2.146,10,1245,1255,11,40,90,2.146
212,6.146,20,1325,1345,11,40,90,6.146
213,7.671,20,1355,1415,11,1,90,7.671
214,31.911,35,600,635,1,10,91,31.911
215,36.533,45,1515,1600,3,30,91,36.533
216,6.299,20,1700,1720,18,1,91,6.299
217,0.44,5,530,535,1,40,93,0.44
218,0.44,10,700,710,14,1,93,0.44
219,50.826,60,800,900,1,50,93,50.826
220,55.182,60,1500,1600,15,1,93,55.182
221,5.84,15,900,915,1,40,94,5.84
222,5.833,15,920,935,11,1,94,5.833
223,5.067,15,900,915,1,40,96,5.067
224,5.067,15,1200,1215,14,1,96,5.067
225,5.067,15,1330,1345,1,40,96,5.067
226,5.067,15,1600,1615,14,1,96,5.067
227,55.383,90,600,730,1,40,97,-1.0
228,2.989,30,930,1000,11,40,97,-1.0
229,0.675,10,1150,1200,11,40,97,-1.0
230,56.514,150,1430,1700,11,10,97,-1.0
231,0.8,5,1730,1735,3,1,97,-1.0
232,24.092,52,1410,1502,1,30,99,24.092
233,0.861,5,1605,1610,18,80,99,0.861
234,24.922,45,1615,1700,13,1,99,24.922
235,31.911,35,600,635,1,10,101,31.911
236,36.533,45,1515,1600,3,30,101,36.533
237,6.299,20,1700,1720,18,1,101,6.299
238,7.952,20,1230,1250,2,30,103,7.952
239,0.577,10,1325,1335,18,40,103,0.577
240,0.191,6,1344,1350,12,40,103,0.191
241,11.238,40,1359,1439,14,10,103,11.238
242,12.225,14,1545,1559,3,40,103,12.225
243,0.535,5,1601,1606,12,10,103,0.535
244,7.102,7,1615,1622,3,1,103,7.102
245,7.439,10,1615,1625,2,40,104,7.439
246,4.902,20,1630,1650,11,40,104,4.902
247,10.182,25,1655,1720,11,1,104,10.182
248,6.412,10,1038,1048,2,40,106,6.412
249,6.404,10,1139,1149,11,1,106,6.404
250,2.935,5,1210,1215,1,80,106,2.935
251,2.644,5,1315,1320,13,40,106,2.644
252,0.217,1,1321,1322,14,1,106,0.217
253,4.938,10,1715,1725,2,80,106,4.938
254,4.964,10,1845,1855,13,1,106,4.964
255,4.95,15,515,530,1,10,109,4.95
256,4.952,20,1445,1505,3,1,109,4.952
257,31.911,35,600,635,1,10,111,31.911
258,36.533,45,1515,1600,3,30,111,36.533
259,6.299,20,1700,1720,18,1,111,6.299
260,4.284,15,900,915,1,40,112,4.284
261,0.426,5,945,950,11,40,112,0.426
262,4.922,20,1000,1020,11,1,112,4.922
263,64.614,105,1200,1345,1,40,112,64.614
264,64.821,105,1415,1600,11,1,112,64.821
265,6.412,10,1038,1048,2,40,113,6.412
266,6.404,10,1139,1149,11,1,113,6.404
267,2.935,5,1210,1215,1,80,113,2.935
268,2.644,5,1315,1320,13,40,113,2.644
269,0.217,1,1321,1322,14,1,113,0.217
270,4.938,10,1715,1725,2,80,113,4.938
271,4.964,10,1845,1855,13,1,113,4.964
272,4.284,15,900,915,1,40,116,4.284
273,0.426,5,945,950,11,40,116,0.426
274,4.922,20,1000,1020,11,1,116,4.922
275,64.614,105,1200,1345,1,40,116,64.614
276,64.821,105,1415,1600,11,1,116,64.821
277,5.575,10,900,910,1,40,118,5.575
278,2.001,5,915,920,11,50,118,2.001
279,1.4,5,945,950,17,20,118,1.4
280,6.444,15,1130,1145,19,1,118,6.444
281,25.074,30,600,630,1,10,119,25.074
282,25.89,40,1600,1640,3,1,119,25.89
283,12.165,45,800,845,1,80,120,12.165
284,12.083,45,900,945,13,1,120,12.083
285,11.322,15,815,830,1,10,122,11.322
286,13.538,15,1630,1645,3,1,122,13.538
287,20.836,45,800,845,1,10,123,20.836
288,0.234,10,1430,1440,3,40,123,0.234
289,3.124,17,1455,1512,11,40,123,3.124
290,2.754,16,1552,1608,14,10,123,2.754
291,2.566,15,1730,1745,3,40,123,2.566
292,18.535,48,1802,1850,11,1,123,18.535
293,6.24,10,650,700,1,97,124,6.24
294,6.24,15,1600,1615,3,1,124,6.24
295,4.284,15,900,915,1,40,126,4.284
296,0.426,5,945,950,11,40,126,0.426
297,4.922,20,1000,1020,11,1,126,4.922
298,64.614,105,1200,1345,1,40,126,64.614
299,64.821,105,1415,1600,11,1,126,64.821
300,7.989,15,515,530,1,10,127,7.989
301,2.583,5,1500,1505,3,40,127,2.583
302,5.406,15,1510,1525,11,1,127,5.406
303,0.819,7,1823,1830,1,1,129,0.819
304,98.642,80,930,1050,1,30,130,98.642
305,9.51,33,1140,1213,18,40,130,9.51
306,22.331,34,1258,1332,11,80,130,22.331
307,96.564,85,1510,1635,13,1,130,96.564
308,2.979,10,700,710,1,40,132,2.979
309,2.979,10,1200,1210,14,1,132,2.979
310,8.843,10,405,415,1,10,133,8.843
311,8.913,15,1100,1115,3,1,133,8.913
312,18.277,30,630,700,1,1,134,18.277
313,2.9,15,1730,1745,1,80,134,2.9
314,15.643,30,2200,2230,15,1,134,15.643
315,117.955,98,930,1108,1,30,135,117.955
316,4.882,7,1215,1222,18,80,135,4.882
317,14.232,35,1300,1335,13,40,135,14.232
318,1.614,10,1430,1440,11,40,135,1.614
319,3.426,15,1550,1605,11,40,135,3.426
320,2.922,15,1745,1800,11,40,135,2.922
321,116.647,90,1835,2005,11,1,135,116.647
322,3.222,5,725,730,1,10,142,3.222
323,3.222,5,1155,1200,3,1,142,3.222
324,3.222,5,1245,1250,1,10,142,3.222
325,3.222,5,1725,1730,3,1,142,3.222
326,15.816,20,915,935,1,40,143,15.816
327,15.891,30,1005,1035,11,1,143,15.891
328,25.074,30,600,630,1,10,144,25.074
329,25.89,40,1600,1640,3,1,144,25.89
330,5.439,11,812,823,1,10,147,5.439
331,4.446,9,1206,1215,3,80,147,4.446
332,4.448,13,1245,1258,13,10,147,4.448
333,5.894,15,1806,1821,3,50,147,5.894
334,7.378,28,1840,1908,17,1,147,7.378
335,7.989,15,515,530,1,10,148,7.989
336,2.583,5,1500,1505,3,40,148,2.583
337,5.406,15,1510,1525,11,1,148,5.406
338,5.176,9,1150,1159,2,40,150,5.176
339,5.306,20,1210,1230,11,40,150,5.306
340,2.146,10,1245,1255,11,40,150,2.146
341,6.146,20,1325,1345,11,40,150,6.146
342,7.671,20,1355,1415,11,1,150,7.671
343,33.238,45,720,805,1,10,151,33.238
344,0.923,3,1705,1708,3,40,151,0.923
345,32.342,37,1709,1746,14,1,151,32.342
346,9.089,25,930,955,1,10,153,9.089
347,9.089,20,1210,1230,3,1,153,9.089
348,11.322,15,815,830,1,10,154,11.322
349,13.538,15,1630,1645,3,1,154,13.538
350,2.127,15,600,615,1,10,155,2.127
351,0.895,15,1730,1745,3,40,155,0.895
352,1.736,5,1750,1755,14,50,155,1.736
353,0.768,15,2045,2100,17,1,155,0.768
354,4.284,15,900,915,1,40,157,4.284
355,0.426,5,945,950,11,40,157,0.426
356,4.922,20,1000,1020,11,1,157,4.922
357,64.614,105,1200,1345,1,40,157,64.614
358,64.821,105,1415,1600,11,1,157,64.821
359,7.439,10,1615,1625,2,40,158,7.439
360,4.902,20,1630,1650,11,40,158,4.902
361,10.182,25,1655,1720,11,1,158,10.182
362,4.284,15,900,915,1,40,159,4.284
363,0.426,5,945,950,11,40,159,0.426
364,4.922,20,1000,1020,11,1,159,4.922
365,64.614,105,1200,1345,1,40,159,64.614
366,64.821,105,1415,1600,11,1,159,64.821
367,10.179,25,745,810,1,30,160,10.179
368,1.853,7,1010,1017,18,40,160,1.853
369,0.275,2,1020,1022,12,40,160,0.275
370,0.275,2,1042,1044,11,40,160,0.275
371,8.674,25,1050,1115,11,1,160,8.674
372,3.339,15,745,800,1,10,161,3.339
373,0.941,5,905,910,3,10,161,0.941
374,1.634,10,930,940,4,10,161,1.634
375,2.468,10,1020,1030,4,10,161,2.468
376,0.311,5,1200,1205,3,80,161,0.311
377,0.311,5,1245,1250,13,10,161,0.311
378,3.344,15,1500,1515,3,1,161,3.344
379,0.419,3,1415,1418,1,40,166,0.419
380,6.259,7,1420,1427,14,40,166,6.259
381,7.183,15,1435,1450,11,40,166,7.183
382,1.931,18,1512,1530,12,40,166,1.931
383,5.372,25,1615,1640,11,50,166,5.372
384,3.112,10,1740,1750,17,40,166,3.112
385,7.518,15,1815,1830,11,1,166,7.518
386,3.593,8,737,745,1,10,167,3.593
387,3.591,7,1230,1237,3,1,167,3.591
388,3.827,7,1340,1347,1,40,167,3.827
389,3.825,12,1435,1447,11,1,167,3.825
390,24.021,60,630,730,1,10,168,24.021
391,38.277,75,830,945,3,10,168,38.277
392,44.713,105,1600,1745,3,1,168,44.713
393,2.127,15,600,615,1,10,169,2.127
394,0.895,15,1730,1745,3,40,169,0.895
395,1.736,5,1750,1755,14,50,169,1.736
396,0.768,15,2045,2100,17,1,169,0.768
397,15.414,30,430,500,1,10,171,15.414
398,4.836,11,849,900,3,70,171,4.836
399,7.377,31,932,1003,6,30,171,7.377
400,8.517,41,1016,1057,18,10,171,8.517
401,1.945,7,1244,1251,3,10,171,1.945
402,0.743,6,1313,1319,4,10,171,0.743
403,2.353,31,1340,1411,4,10,171,2.353
404,16.662,32,1448,1520,4,10,171,16.662
405,3.324,12,1556,1608,4,80,171,3.324
406,9.998,28,1613,1641,13,1,171,9.998
407,3.471,5,1300,1305,1,80,172,-1.0
408,3.471,5,1430,1435,13,50,172,-1.0
409,0.381,6,928,934,17,50,173,0.381
410,7.144,12,1233,1245,17,10,173,7.144
411,10.572,15,1430,1445,3,10,173,10.572
412,48.655,69,1553,1702,3,50,173,48.655
413,15.768,60,830,930,16,10,174,15.768
414,15.978,34,1130,1204,3,50,174,15.978
415,15.768,60,830,930,16,10,175,15.768
416,15.978,34,1130,1204,3,50,175,15.978
417,4.62,11,1230,1241,19,40,176,-1.0
418,4.62,13,1247,1300,11,20,176,-1.0
419,4.62,11,1230,1241,19,40,177,-1.0
420,4.62,13,1247,1300,11,20,177,-1.0
421,15.768,60,830,930,16,10,179,15.768
422,15.978,34,1130,1204,3,50,179,15.978
423,48.156,50,1130,1220,17,80,181,-1.0
424,36.002,35,1255,1330,13,40,181,-1.0
425,134.277,120,1340,1540,11,40,181,-1.0
426,70.985,90,1545,1715,11,1,181,-1.0
427,0.58,2,700,702,1,10,182,0.58
428,0.58,2,1545,1547,3,1,182,0.58
429,4.037,15,900,915,1,40,183,4.037
