,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
133,2.725,15,710,725,1,10,41,2.725
134,0.603,9,1536,1545,3,40,41,0.603
135,1.593,5,1555,1600,11,70,41,1.593
136,2.532,10,1605,1615,6,1,41,2.532
137,0.235,3,1900,1903,1,40,43,0.235
138,0.235,5,1925,1930,11,1,43,0.235
139,6.632,20,700,720,1,10,45,6.632
140,8.137,15,1600,1615,3,1,45,8.137
141,3.985,10,515,525,1,10,46,3.985
142,0.165,3,1400,1403,3,40,46,0.165
143,4.099,15,1445,1500,11,1,46,4.099
144,1.411,10,1730,1740,1,10,46,1.411
145,1.399,10,1830,1840,3,1,46,1.399
146,0.425,5,825,830,1,30,47,0.425
147,0.43,5,915,920,18,70,47,0.43
148,0.604,5,925,930,1,40,47,-1.0
149,0.652,5,940,945,11,1,47,0.652
150,1.43,5,1500,1505,1,70,47,1.43
151,6.039,14,1506,1520,6,70,47,6.039
152,6.462,15,1545,1600,6,1,47,6.462
153,0.711,5,2000,2005,1,40,47,0.711
154,0.711,5,2020,2025,11,1,47,-1.0
155,8.504,18,1711,1729,1,10,50,8.504
156,8.547,13,2255,2308,3,1,50,8.547
157,155.799,155,1440,1715,7,1,52,155.799
158,3.752,5,650,655,1,10,54,3.752
159,3.758,5,1535,1540,3,1,54,3.758
160,117.635,136,710,926,1,10,56,117.635
161,6.398,16,1626,1642,3,40,56,6.398
162,101.467,110,1653,1843,11,40,56,101.467
163,11.85,19,1934,1953,11,1,56,11.85
164,0.822,8,642,650,1,50,57,0.822
165,0.822,8,712,720,16,1,57,0.822
166,29.577,50,630,720,1,10,58,29.577
167,25.416,35,930,1005,4,50,58,25.416
168,22.368,35,1605,1640,15,1,58,22.368
169,32.334,43,611,654,1,10,59,32.334
170,2.066,10,850,900,3,80,59,2.066
171,2.078,15,905,920,13,10,59,2.078
172,3.269,11,1159,1210,3,80,59,3.269
173,3.472,10,1220,1230,13,10,59,3.472
174,34.792,60,1635,1735,3,1,59,34.792
175,3.1,16,840,856,1,70,60,3.1
176,2.548,10,857,907,6,50,60,2.548
177,1.404,7,1048,1055,16,70,60,1.404
178,8.688,21,1056,1117,6,97,60,8.688
179,8.083,23,1618,1641,5,1,60,8.083
180,23.087,45,630,715,1,10,61,23.087
181,22.136,45,1845,1930,3,1,61,22.136
182,0.69,5,725,730,1,10,62,0.69
183,0.109,1,1100,1101,3,40,63,0.109
184,7.35,16,1200,1216,12,1,63,7.35
185,7.034,54,1246,1340,1,10,63,7.034
186,21.99,45,600,645,3,1,64,-1.0
187,21.99,30,1645,1715,1,10,64,-1.0
188,3.02,10,800,810,3,1,65,3.02
189,3.02,10,1430,1440,1,10,65,3.02
190,3.02,20,2310,2330,3,1,65,3.02
191,2.918,10,1620,1630,1,97,66,2.918
192,2.893,10,2230,2240,5,1,66,2.893
193,0.674,5,700,705,1,80,67,0.674
194,0.674,4,713,717,13,1,67,0.674
195,1.558,5,645,650,1,40,69,1.558
196,31.622,43,700,743,11,97,69,31.622
197,33.696,45,1655,1740,7,1,69,33.696
198,14.872,30,630,700,1,10,70,14.872
199,10.06,30,1600,1630,3,40,70,10.06
200,4.071,15,1700,1715,11,1,70,4.071
201,3.779,10,715,725,1,50,72,3.779
202,3.742,10,1105,1115,15,1,72,3.742
203,4.453,12,1822,1834,1,20,72,4.453
204,0.653,3,1838,1841,19,20,72,0.653
205,5.305,12,1849,1901,19,20,72,5.305
206,6.231,29,1907,1936,19,1,72,6.231
207,3.192,10,1000,1010,1,40,73,3.192
208,3.272,15,1100,1115,11,1,73,3.272
209,2.348,15,745,800,1,70,74,2.348
210,9.95,20,800,820,3,20,74,-1.0
211,2.977,5,1030,1035,19,40,74,2.977
212,5.065,14,1036,1050,14,1,74,5.065
213,2.254,15,1545,1600,1,10,74,2.254
214,2.788,10,1800,1810,3,1,74,2.788
215,2.348,10,2050,2100,1,10,74,-1.0
