,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
133,7.983,15,915,930,1,20,35,7.983
134,3.162,10,1220,1230,19,40,35,3.162
135,2.082,10,1245,1255,11,80,35,2.082
136,2.685,13,1315,1328,13,97,35,2.685
137,1.309,5,1435,1440,5,40,35,1.309
138,0.264,5,1450,1455,11,40,35,0.264
139,14.7,30,1700,1730,11,1,35,14.7
140,3.265,60,900,1000,1,40,37,3.265
141,1.496,65,1045,1150,11,80,37,1.496
142,4.16,15,1215,1230,13,1,37,4.16
143,27.764,30,800,830,1,10,38,27.764
144,2.104,5,1800,1805,3,40,38,2.104
145,25.946,20,1810,1830,11,1,38,25.946
146,13.706,15,715,730,1,70,39,13.706
147,1.209,10,742,752,6,80,39,1.209
148,12.802,36,802,838,13,1,39,12.802
149,20.112,35,1100,1135,1,70,39,20.112
150,4.57,8,1139,1147,6,80,39,4.57
151,5.031,12,1230,1242,13,70,39,5.031
152,19.666,26,1249,1315,6,1,39,19.666
153,13.706,28,1400,1428,1,70,39,13.706
154,14.067,30,1445,1515,6,1,39,14.067
155,19.599,33,1845,1918,1,40,39,19.599
156,0.62,13,2045,2058,11,1,39,0.62
157,19.166,33,2145,2218,1,1,39,19.166
158,2.843,10,730,740,1,70,40,2.843
159,2.801,15,745,800,6,80,40,2.801
160,4.757,5,805,810,13,1,40,4.757
161,2.406,10,1000,1010,1,40,40,2.406
162,0.305,3,1100,1103,11,40,40,0.305
163,2.271,7,1118,1125,11,1,40,2.271
164,2.843,15,1445,1500,1,70,40,2.843
165,5.804,10,1505,1515,6,80,40,5.804
166,6.066,10,1520,1530,13,1,40,6.066
167,6.854,20,730,750,1,10,41,6.854
168,7.093,25,1655,1720,3,1,41,7.093
169,29.671,35,515,550,1,10,42,29.671
170,1.892,15,1000,1015,3,10,42,1.892
171,1.888,15,1815,1830,3,10,42,1.888
172,29.634,35,1900,1935,3,1,42,29.634
173,5.076,20,535,555,1,10,43,5.076
174,3.595,20,1100,1120,3,80,43,3.595
175,3.436,5,1125,1130,13,10,43,3.436
176,5.07,12,1600,1612,3,1,43,5.07
177,10.045,20,1740,1800,1,40,43,10.045
178,14.088,21,1814,1835,11,80,43,14.088
179,22.364,74,1851,2005,13,40,43,22.364
180,1.5,5,2010,2015,14,1,43,1.5
181,3.265,60,900,1000,1,40,44,3.265
182,1.496,65,1045,1150,11,80,44,1.496
183,4.16,15,1215,1230,13,1,44,4.16
184,4.684,10,1005,1015,1,10,45,4.684
185,4.637,10,1430,1440,3,1,45,4.637
186,1.892,7,1030,1037,1,10,46,1.892
187,1.898,7,2110,2117,3,1,46,1.898
188,3.609,8,720,728,1,70,47,3.609
189,1.193,11,729,740,6,10,47,1.193
190,1.196,7,1508,1515,4,70,47,1.196
191,3.627,11,1516,1527,6,70,47,3.627
192,4.073,12,1532,1544,6,10,47,4.073
193,4.09,12,1800,1812,3,1,47,4.09
194,7.983,15,930,945,1,20,49,7.983
195,0.609,5,1245,1250,19,50,49,0.609
196,2.008,15,1345,1400,17,40,49,2.008
197,1.974,10,1630,1640,11,50,49,1.974
198,8.001,20,1700,1720,17,1,49,8.001
199,1.258,5,1915,1920,1,40,49,1.258
200,3.457,15,1930,1945,11,80,49,3.457
